Expert Rating,ExpertNumber,Team,Vision,Product,Value of Token Sold in ICO,Status,Price in ICO,Price in ICO_1,Tokens for sale,Min. investment,Distributed in ICO,Soft cap,Hard cap
3.6,14,4,3.5,3.2,NA,Trading,0.23,0.23,6.50E+09,NA,65,60000,1581000
3.8,0,NA,NA,NA,20660000,Ended,0.07,0.07,1.00E+09,NA,75,1.00E+06,5.00E+07
3.6,18,3.5,3.8,3.3,2.20E+07,Trading,0.0426,0.0426,5.10E+09,NA,51,NA,2.20E+07
4,0,NA,NA,NA,5.00E+05,Ended,0.05,0.05,1.00E+09,10,50,4500000,4.00E+07
3.9,9,4.5,3.8,3.7,10714285,Trading,0.1,0.1,1.20E+08,NA,NA,1.00E+06,1.20E+07
3.7,0,NA,NA,NA,NA,Ended,0.027,0.027,1.00E+09,NA,50,1.00E+08,1.00E+09
4.3,27,4.6,4.4,4.1,735917,Ended,0.205,0.205,6.00E+07,NA,60,2850,19000
3.7,0,NA,NA,NA,NA,Ended,0.2,0.2,5.00E+08,20,50,1.00E+07,2.50E+07
3.8,4,4,4.3,3.3,1.00E+06,Ended,0.8,0.8,22222222,100,90,12500001,222222221
3.6,2,5,4,3.4,3486451,Trading,0.043,0.043,2.20E+08,NA,11,1.00E+06,1.00E+07
3.2,19,3.1,3.5,2.9,NA,Ended,0.15,0.15,1.70E+08,6.67,40,6.00E+06,2.00E+07
3.5,5,2.9,3.2,3.8,137856,Ended,0.6858,0.6858,29750000,NA,85,1000,20000
3.7,0,NA,NA,NA,45908,Ended,0.1125,0.1125,2.00E+07,NA,62,400,5000
3.9,19,4,4,4,7823333,Ended,0.08,0.08,7.50E+08,0.1,75,NA,7.50E+08
3.2,6,3.4,2.7,2.5,18559653,Trading,0.046,0.046,1771428571,0.2,40,NA,54286
3.5,7,3.7,3.3,3.2,NA,Ended,0.1435,0.1435,2.00E+08,0.1,60,600,20000
4.2,4,4.4,4.4,4.7,5.00E+06,Ended,0.375,0.375,4.00E+07,300,40,5.00E+06,1.50E+07
3.7,0,NA,NA,NA,2500000,Ended,0.2,0.2,1.20E+08,100,80,2500000,2.10E+07
3.7,3,2.4,4.3,4.3,NA,Ended,0.08,0.08,3.00E+08,NA,60,5.00E+06,22400000
3.7,0,NA,NA,NA,NA,Ended,0.0062,0.0062,5.00E+09,NA,40,NA,40000
4.2,2,5,4.5,4.5,NA,Ended,0.07,0.07,3.00E+08,NA,54.6,NA,1.20E+07
3.9,7,3.8,4.1,4.2,3480000,Ended,1.16,1.16,NA,NA,80,3.00E+06,NA
3.7,2,5,5,3,12500000,Trading,29.85,29.85,1.00E+07,NA,NA,NA,NA
3.4,13,3.5,3.3,3.3,38646754,Trading,0.1407,0.1407,NA,NA,48,5000,62500
3.7,0,NA,NA,NA,4.00E+07,Ended,1,1,1.20E+08,7.5,75,3.70E+07,9.00E+07
3.7,0,NA,NA,NA,NA,Ended,0.0125,0.0125,1.50E+09,10000,47,2.00E+06,1.70E+07
3.5,0,NA,NA,NA,14200000,Trading,0.256,0.256,5.50E+08,NA,50,5.00E+06,6.00E+07
3.7,0,NA,NA,NA,7.00E+05,Ended,0.01,0.01,1048350000,0.01,90,1.00E+06,8.00E+06
3.2,4,2.6,3.1,2.6,3.00E+07,Trading,0.015,0.015,5.00E+09,NA,50,2.00E+06,7.00E+06
3.4,6,2.9,3.2,2.5,3.70E+07,Trading,0.19,0.19,2.00E+08,NA,NA,28000,95000
4.1,13,4.4,4.2,4.1,9800000,Ended,1,1,NA,NA,NA,NA,1.50E+07
3.5,3,3.5,3.5,2.6,1.50E+07,Ended,0.1,0.1,2.50E+08,NA,50,1.50E+07,2.50E+07
3.6,2,4,4,3.4,228197,Ended,0.086,0.086,3.00E+07,0.1,70,300,5000
3.8,23,4,3.9,3.7,NA,Ended,0.01,0.01,3.00E+09,NA,50,1500000,2.00E+07
3.7,2,3.6,3.6,3.6,13593423,Ended,0.94,0.94,2.00E+08,NA,65,1.00E+07,4.90E+07
4.2,5,4.6,4,3.9,NA,Ended,0.01,0.01,5.00E+09,0.1,50,1200000,1.20E+07
3.7,15,3,4.2,4,6316424,Ended,0.0069,0.0069,NA,NA,NA,4000,31000
4.1,55,4.2,4.3,4,4.00E+05,Ended,0.23,0.23,20271000,0.1,70,675000,8500000
3.2,18,3.4,3.1,2.8,1012863,Ended,0.3928,0.3928,7600000,0.01,76,500,5960
4,6,4.6,4.4,4.1,8500000,Trading,0.25,0.25,2.00E+07,NA,40,NA,7500000
3.9,14,3.8,4.1,3.9,483520,Ended,0.0205,0.0205,2.79E+08,0.1,45,1140,1.50E+07
4.1,15,4.4,4.2,3.9,1250000,Trading,0.0376,0.0376,1.50E+08,NA,50,1000,7500
4,32,4.2,3.9,3.9,2078600,Ended,0.2079,0.2079,4.70E+07,NA,NA,2000,35000
3.8,8,3.9,3.9,3.6,6.00E+05,Ended,0.121,0.121,1.50E+08,0.1,69,4500,17642
3.6,1,2,5,3,8.00E+07,Trading,2.049,2.049,647500000,NA,35,NA,160000
4.2,7,4.6,4.7,4.2,1412340,Ended,0.0023,0.0023,5.00E+09,0.1,50,10000,50000
3.3,1,3,2,3,NA,Ended,0.0029,0.0029,5.24E+09,NA,55,NA,10089200
3.5,0,NA,NA,NA,NA,Ended,0.8,0.8,1.78E+08,50,89,1.00E+07,3.50E+07
4.2,7,4.6,4.9,4.5,3600000,Ended,0,0,8.00E+08,50,80,3.00E+06,1.00E+07
4,4,4.3,4.3,4.4,NA,Ended,0.75,0.75,1.00E+07,NA,50,1.00E+07,7.00E+07
3.4,6,3.7,3.6,2.8,14815330,Ended,0.1392,0.1392,2.50E+08,NA,50,5.00E+07,3.00E+08
3.9,10,4.8,3.9,4,1.80E+07,Trading,0.3068,0.3068,NA,0.04,55,1.00E+06,150000
3.5,0,NA,NA,NA,NA,Ended,0.645,0.645,7.20E+07,NA,60,NA,NA
3.5,0,NA,NA,NA,82296049,Ended,1,1,2.00E+06,100,50,3.00E+06,1.00E+08
3.5,0,NA,NA,NA,NA,Ended,0.01,0.01,332500000,1000,475,3111,8238
4.3,9,4.7,4.5,4.3,8189096,Ended,0.3,0.3,75744444,NA,60.11,2.00E+06,15810000
3.4,3,2.8,4,2.8,NA,Trading,1.4731,1.4731,54600000,NA,65,NA,NA
3.6,25,3.7,3.6,3.6,3740965,Trading,0.5,0.5,NA,NA,77,2.00E+06,1.50E+07
3.3,2,3,2.3,2.3,9.00E+06,Trading,0.14,0.14,NA,NA,80,1.00E+06,1.00E+05
3.6,2,4.5,3.5,3,1374240,Ended,0.2,0.2,2.25E+08,NA,60,2500,2.25E+08
3.8,5,4,4,4.5,1.00E+06,Trading,0.1023,0.1023,6.00E+08,NA,60,NA,2.00E+05
3.5,0,NA,NA,NA,NA,Ended,1.2,1.2,2.30E+07,100,NA,NA,4310000
3.5,2,3,4.5,3,NA,Ended,1,1,3.00E+07,100,60,1.00E+06,3.00E+07
3.1,2,4.4,1.6,2,2200000,Trading,0.2,0.2,1.44E+08,100,65,NA,2.90E+07
